,Full Name,Gender,Age,Use Phone for Class Notes,Buy/Access Books from Phone,Phone's Battery Lasts a Day,Run for Charger When Battery Dies,Worry About Losing Cell Phone,Take Phone to Bathroom,Use Phone in Social Gatherings,Check Phone Without Notification,Check Phone Before Sleep/After Waking Up,Keep Phone Next to While Sleeping,Check Emails/Calls/Texts During Class,Rely on Phone in Awkward Situations,On Phone While Watching TV/Eating,Panic Attack if Phone Left Elsewhere,Use Phone on Date,Phone Use for Playing Games,Live a Day Without Phone,Addicted to Phone,Target
0,Maria Garcia,Male,34,No,No,No,No,No,Yes,Yes,Rarely,Yes,Yes,No,Yes,No,Yes,Yes,5,No,No, NOT Adicted
1,Alex Johnson,Female,38,Yes,No,No,No,Yes,Yes,Yes,Never,Yes,No,No,Yes,No,Yes,Yes,4,Yes,Yes,Adicted
2,Maria Garcia,Male,23,No,No,Yes,No,No,Yes,No,Sometimes,No,No,Yes,No,No,Yes,No,1,Yes,Yes,Adicted
3,Emily Martinez,Female,48,Yes,Yes,Yes,Yes,Yes,Yes,No,Rarely,Yes,Yes,No,No,No,No,No,0,No,Yes,Maybe addicted
4,Emily Martinez,Female,30,Yes,Yes,No,Yes,Yes,No,Yes,Rarely,No,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes, NOT Adicted
5,John Doe,Female,23,No,Yes,Yes,Yes,Yes,Yes,Yes,Never,Yes,Yes,Yes,No,Yes,No,Yes,1,Yes,No,Maybe addicted
6,Jane Smith,Male,50,No,Yes,Yes,No,Yes,No,No,Never,Yes,Yes,Yes,Yes,Yes,No,No,0,No,Yes,Adicted
7,Emily Martinez,Female,54,No,No,No,No,Yes,Yes,No,Often,No,Yes,No,Yes,Yes,No,No,4,No,No, NOT Adicted
8,James Lee,Male,63,No,No,No,Yes,Yes,Yes,No,Sometimes,Yes,Yes,No,No,No,Yes,No,5,No,Yes,Adicted
9,John Doe,Female,62,Yes,No,No,Yes,Yes,No,No,Rarely,No,Yes,No,Yes,Yes,Yes,Yes,3,No,No,Adicted
10,John Doe,Male,61,Yes,Yes,Yes,Yes,No,No,Yes,Often,No,No,Yes,Yes,No,No,Yes,2,Yes,No,Adicted
11,Alex Johnson,Male,20,Yes,Yes,No,No,No,Yes,No,Never,No,No,Yes,Yes,No,No,Yes,1,Yes,No,Maybe addicted
12,Alex Johnson,Male,39,Yes,Yes,No,Yes,Yes,No,No,Never,Yes,No,Yes,No,Yes,Yes,No,1,Yes,No,Maybe addicted
13,Alex Johnson,Female,24,Yes,No,No,No,No,Yes,No,Often,No,No,Yes,No,No,Yes,Yes,5,No,Yes,Adicted
14,Jane Smith,Male,21,No,Yes,Yes,No,No,No,No,Sometimes,No,Yes,No,Yes,No,Yes,No,1,No,Yes,Adicted
15,John Doe,Female,61,Yes,Yes,No,No,No,Yes,Yes,Sometimes,Yes,Yes,Yes,No,No,No,Yes,0,No,Yes, NOT Adicted
16,Emily Martinez,Female,51,No,No,No,No,Yes,Yes,Yes,Rarely,No,No,Yes,Yes,No,Yes,No,4,No,No,Adicted
17,James Lee,Male,22,Yes,Yes,Yes,No,Yes,No,No,Sometimes,Yes,No,No,No,Yes,Yes,Yes,5,No,Yes,Maybe addicted
18,James Lee,Female,48,No,Yes,Yes,Yes,Yes,No,No,Rarely,Yes,No,No,No,No,No,No,0,Yes,Yes,Adicted
19,Emily Martinez,Female,21,Yes,No,No,Yes,No,Yes,Yes,Rarely,No,Yes,No,No,No,Yes,Yes,3,Yes,Yes,Adicted
20,James Lee,Male,58,No,Yes,No,Yes,No,No,Yes,Often,No,No,Yes,No,Yes,No,No,5,Yes,Yes,Adicted
21,Maria Garcia,Female,30,No,No,Yes,Yes,Yes,No,No,Often,Yes,Yes,Yes,No,No,Yes,Yes,3,No,Yes,Adicted
22,John Doe,Male,44,Yes,Yes,No,No,No,Yes,No,Rarely,No,Yes,No,Yes,Yes,No,Yes,2,No,Yes,Adicted
23,Alex Johnson,Male,56,Yes,Yes,Yes,Yes,Yes,Yes,No,Rarely,Yes,Yes,Yes,Yes,No,Yes,No,2,No,Yes,Adicted
24,Alex Johnson,Female,48,No,No,No,Yes,Yes,Yes,No,Sometimes,No,Yes,Yes,Yes,No,Yes,Yes,1,No,No,Maybe addicted
25,John Doe,Male,56,Yes,No,Yes,Yes,Yes,No,No,Never,Yes,No,No,No,Yes,Yes,No,5,No,Yes,Maybe addicted
26,John Doe,Female,64,No,No,Yes,No,No,No,Yes,Sometimes,Yes,No,Yes,Yes,No,No,Yes,3,No,Yes,Adicted
27,Alex Johnson,Male,40,No,Yes,No,Yes,No,Yes,No,Never,Yes,Yes,No,Yes,No,Yes,No,5,No,Yes, NOT Adicted
28,Jane Smith,Female,35,Yes,Yes,No,Yes,Yes,No,No,Never,No,Yes,No,No,No,Yes,Yes,0,Yes,No,Maybe addicted
29,Alex Johnson,Male,51,Yes,Yes,Yes,No,No,No,Yes,Sometimes,Yes,No,No,No,No,No,No,4,Yes,Yes,Adicted
30,John Doe,Female,43,No,Yes,No,No,No,No,Yes,Never,No,No,No,Yes,No,No,Yes,5,No,Yes, NOT Adicted
31,John Doe,Female,48,No,Yes,Yes,Yes,No,Yes,No,Often,Yes,Yes,No,No,Yes,Yes,No,1,Yes,No,Maybe addicted
32,Maria Garcia,Male,39,No,No,Yes,No,Yes,No,Yes,Sometimes,Yes,No,No,No,No,No,No,5,Yes,Yes,Maybe addicted
33,James Lee,Male,42,Yes,Yes,Yes,Yes,No,Yes,Yes,Sometimes,No,Yes,No,No,No,No,Yes,5,No,No,Maybe addicted
34,Emily Martinez,Female,31,No,No,Yes,Yes,Yes,Yes,No,Often,No,Yes,Yes,Yes,No,Yes,No,4,Yes,No,Adicted
35,James Lee,Male,56,Yes,No,No,No,No,No,Yes,Often,Yes,No,Yes,Yes,No,Yes,Yes,2,No,No, NOT Adicted
36,Alex Johnson,Female,40,Yes,Yes,No,Yes,Yes,No,No,Never,Yes,No,No,No,No,Yes,Yes,0,Yes,Yes,Adicted
37,Jane Smith,Female,57,Yes,No,No,Yes,Yes,Yes,No,Sometimes,Yes,No,No,No,No,Yes,No,4,Yes,No,Maybe addicted
38,James Lee,Female,52,No,No,Yes,Yes,Yes,Yes,Yes,Never,Yes,Yes,No,Yes,No,Yes,Yes,3,No,Yes, NOT Adicted
39,Alex Johnson,Male,61,No,Yes,Yes,Yes,No,No,Yes,Rarely,No,No,Yes,Yes,Yes,No,No,4,Yes,Yes,Maybe addicted
40,Jane Smith,Male,26,Yes,No,Yes,Yes,Yes,Yes,No,Rarely,Yes,No,Yes,Yes,No,No,No,2,Yes,Yes, NOT Adicted
41,Jane Smith,Female,65,No,No,Yes,No,Yes,No,Yes,Rarely,No,No,Yes,Yes,Yes,No,Yes,2,No,Yes,Maybe addicted
42,Emily Martinez,Male,37,Yes,No,Yes,Yes,No,Yes,No,Often,Yes,Yes,Yes,Yes,Yes,No,Yes,0,No,No,Adicted
43,Maria Garcia,Female,27,No,No,Yes,No,No,No,Yes,Never,No,No,Yes,Yes,No,No,Yes,0,Yes,Yes,Adicted
44,Jane Smith,Male,33,Yes,Yes,Yes,Yes,No,Yes,No,Sometimes,Yes,No,No,No,Yes,Yes,No,0,No,No, NOT Adicted
45,Maria Garcia,Male,50,No,Yes,No,No,No,No,No,Often,No,No,No,Yes,No,Yes,No,3,Yes,No,Maybe addicted
46,John Doe,Male,35,Yes,No,No,Yes,No,No,No,Sometimes,Yes,No,Yes,No,Yes,Yes,No,5,Yes,Yes, NOT Adicted
47,Alex Johnson,Female,36,No,No,No,No,No,Yes,Yes,Sometimes,Yes,No,Yes,No,Yes,No,No,5,Yes,Yes, NOT Adicted
48,Alex Johnson,Male,51,Yes,Yes,Yes,Yes,No,No,No,Rarely,No,Yes,No,No,No,No,No,1,No,Yes,Adicted
49,Jane Smith,Female,41,No,Yes,No,Yes,Yes,No,Yes,Sometimes,No,No,Yes,Yes,Yes,No,Yes,3,Yes,No,Adicted
50,Maria Garcia,Male,30,Yes,No,Yes,No,No,No,No,Never,No,No,Yes,No,Yes,No,Yes,2,Yes,No,Maybe addicted
51,Emily Martinez,Female,62,Yes,No,No,Yes,No,No,Yes,Never,No,Yes,Yes,Yes,No,No,Yes,0,Yes,Yes, NOT Adicted
52,Maria Garcia,Male,38,Yes,No,No,Yes,No,No,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,No,5,Yes,Yes, NOT Adicted
53,Emily Martinez,Female,29,No,Yes,Yes,Yes,No,Yes,No,Rarely,No,No,No,Yes,No,Yes,Yes,5,Yes,Yes,Maybe addicted
54,Jane Smith,Female,57,Yes,No,Yes,No,Yes,No,Yes,Often,No,Yes,Yes,Yes,No,No,No,2,No,No, NOT Adicted
55,Jane Smith,Female,19,Yes,Yes,Yes,No,Yes,Yes,No,Often,No,No,Yes,Yes,No,Yes,No,0,No,No, NOT Adicted
56,Alex Johnson,Female,54,No,No,Yes,Yes,No,No,Yes,Never,Yes,No,Yes,Yes,Yes,No,Yes,1,No,Yes,Maybe addicted
57,James Lee,Female,48,Yes,Yes,No,No,Yes,Yes,Yes,Rarely,No,Yes,No,Yes,Yes,No,Yes,0,No,No,Adicted
58,Emily Martinez,Male,28,Yes,Yes,Yes,No,Yes,No,No,Often,Yes,Yes,No,No,Yes,Yes,No,1,Yes,No,Maybe addicted
59,James Lee,Male,42,Yes,Yes,Yes,No,Yes,Yes,Yes,Often,No,Yes,Yes,Yes,Yes,Yes,Yes,5,No,Yes,Maybe addicted
60,James Lee,Female,63,Yes,Yes,No,Yes,No,Yes,Yes,Never,No,Yes,No,No,Yes,No,No,1,No,Yes, NOT Adicted
